2018-05-17T08:00:09.875+0000 I CONTROL  [initandlisten] MongoDB starting : pid=31 port=27017 dbpath=/mongo/mem 64-bit host=node1
2018-05-17T08:00:09.876+0000 I CONTROL  [initandlisten] db version v3.6.4
2018-05-17T08:00:09.876+0000 I CONTROL  [initandlisten] git version: d0181a711f7e7f39e60b5aeb1dc7097bf6ae5856
2018-05-17T08:00:09.876+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-05-17T08:00:09.877+0000 I CONTROL  [initandlisten] modules: none
2018-05-17T08:00:09.877+0000 I CONTROL  [initandlisten] build environment:
2018-05-17T08:00:09.877+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-17T08:00:09.878+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-17T08:00:09.878+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "0.0.0.0", port: 27017 }, replication: { replSet: "rs0" }, storage: { dbPath: "/mongo/mem" } }
2018-05-17T08:00:09.878+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),cache_cursors=false,log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-17T08:00:10.513+0000 I STORAGE  [initandlisten] WiredTiger message [1526544010:513122][31:0x7f266af429c0], txn-recover: Set global recovery timestamp: 0
2018-05-17T08:00:10.522+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:10.523+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-05-17T08:00:10.524+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-05-17T08:00:10.524+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2018-05-17T08:00:10.524+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:10.526+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with no UUID.
2018-05-17T08:00:10.534+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/mongo/mem/diagnostic.data'
2018-05-17T08:00:10.535+0000 I STORAGE  [initandlisten] createCollection: local.me with no UUID.
2018-05-17T08:00:10.537+0000 I STORAGE  [initandlisten] createCollection: local.replset.minvalid with no UUID.
2018-05-17T08:00:10.539+0000 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-05-17T08:00:10.543+0000 I REPL     [initandlisten] Did not find local Rollback ID document at startup. Creating one.
2018-05-17T08:00:10.543+0000 I STORAGE  [initandlisten] createCollection: local.system.rollback.id with no UUID.
2018-05-17T08:00:10.545+0000 I REPL     [initandlisten] Initialized the rollback ID to 1
2018-05-17T08:00:10.546+0000 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-05-17T08:00:10.546+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-05-17T08:00:13.898+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:59636 #1 (1 connection now open)
2018-05-17T08:00:13.899+0000 I NETWORK  [conn1] received client metadata from 172.23.0.3:59636 conn1: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
