2018-05-17T08:00:08.695+0000 I CONTROL  [initandlisten] MongoDB starting : pid=30 port=27017 dbpath=/mongo/mem 64-bit host=node3
2018-05-17T08:00:08.697+0000 I CONTROL  [initandlisten] db version v3.6.4
2018-05-17T08:00:08.698+0000 I CONTROL  [initandlisten] git version: d0181a711f7e7f39e60b5aeb1dc7097bf6ae5856
2018-05-17T08:00:08.699+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-05-17T08:00:08.699+0000 I CONTROL  [initandlisten] modules: none
2018-05-17T08:00:08.701+0000 I CONTROL  [initandlisten] build environment:
2018-05-17T08:00:08.702+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-17T08:00:08.702+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-17T08:00:08.703+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "0.0.0.0", port: 27017 }, replication: { replSet: "rs0" }, storage: { dbPath: "/mongo/mem" } }
2018-05-17T08:00:08.767+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),cache_cursors=false,log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-17T08:00:09.424+0000 I STORAGE  [initandlisten] WiredTiger message [1526544009:423993][30:0x7fe76b5df9c0], txn-recover: Set global recovery timestamp: 0
2018-05-17T08:00:09.427+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:09.428+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-05-17T08:00:09.428+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-05-17T08:00:09.428+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2018-05-17T08:00:09.429+0000 I CONTROL  [initandlisten] 
2018-05-17T08:00:09.431+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with no UUID.
2018-05-17T08:00:09.433+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/mongo/mem/diagnostic.data'
2018-05-17T08:00:09.434+0000 I STORAGE  [initandlisten] createCollection: local.me with no UUID.
2018-05-17T08:00:09.435+0000 I STORAGE  [initandlisten] createCollection: local.replset.minvalid with no UUID.
2018-05-17T08:00:09.437+0000 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-05-17T08:00:09.438+0000 I REPL     [initandlisten] Did not find local Rollback ID document at startup. Creating one.
2018-05-17T08:00:09.438+0000 I STORAGE  [initandlisten] createCollection: local.system.rollback.id with no UUID.
2018-05-17T08:00:09.440+0000 I REPL     [initandlisten] Initialized the rollback ID to 1
2018-05-17T08:00:09.440+0000 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-05-17T08:00:09.441+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-05-17T08:00:13.912+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:55838 #1 (1 connection now open)
2018-05-17T08:00:13.913+0000 I NETWORK  [conn1] end connection 172.23.0.2:55838 (0 connections now open)
2018-05-17T08:00:13.915+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:55842 #2 (1 connection now open)
2018-05-17T08:00:13.916+0000 I NETWORK  [conn2] received client metadata from 172.23.0.2:55842 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-17T08:00:13.920+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-17T08:00:13.924+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to node1:27017, took 4ms (1 connections now open to node1:27017)
2018-05-17T08:00:15.935+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:45344 #3 (2 connections now open)
2018-05-17T08:00:15.939+0000 I STORAGE  [replexec-0] createCollection: local.system.replset with no UUID.
2018-05-17T08:00:15.939+0000 I NETWORK  [conn3] end connection 172.23.0.4:45344 (1 connection now open)
2018-05-17T08:00:15.944+0000 I REPL     [replexec-0] New replica set config in use: { _id: "rs0", version: 1, protocolVersion: 1, members: [ { _id: 0, host: "node1:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "node2:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "node3:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5afd368d6542631ece31af66') } }
2018-05-17T08:00:15.945+0000 I REPL     [replexec-0] This node is node3:27017 in the config
2018-05-17T08:00:15.945+0000 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2018-05-17T08:00:15.947+0000 I REPL     [replexec-0] Starting replication storage threads
2018-05-17T08:00:15.949+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node2:27017
2018-05-17T08:00:15.951+0000 I REPL     [replexec-1] Member node1:27017 is now in state SECONDARY
2018-05-17T08:00:15.953+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:45350 #4 (2 connections now open)
2018-05-17T08:00:15.954+0000 I STORAGE  [replexec-0] createCollection: local.temp_oplog_buffer with no UUID.
2018-05-17T08:00:15.955+0000 I NETWORK  [conn4] received client metadata from 172.23.0.4:45350 conn4: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-17T08:00:15.962+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to node2:27017, took 13ms (1 connections now open to node2:27017)
2018-05-17T08:00:15.964+0000 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
2018-05-17T08:00:15.964+0000 I STORAGE  [replication-0] Finishing collection drop for local.temp_oplog_buffer (no UUID).
2018-05-17T08:00:15.965+0000 I STORAGE  [replication-0] createCollection: local.temp_oplog_buffer with no UUID.
2018-05-17T08:00:15.965+0000 I REPL     [replexec-1] Member node2:27017 is now in state STARTUP2
2018-05-17T08:00:15.968+0000 I REPL     [replication-0] sync source candidate: node1:27017
2018-05-17T08:00:15.969+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.969+0000 I REPL     [replication-0] creating replication oplog of size: 990MB...
2018-05-17T08:00:15.970+0000 I STORAGE  [replication-0] createCollection: local.oplog.rs with no UUID.
2018-05-17T08:00:15.971+0000 I STORAGE  [replication-0] Starting WiredTigerRecordStoreThread local.oplog.rs
2018-05-17T08:00:15.972+0000 I STORAGE  [replication-0] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2018-05-17T08:00:15.972+0000 I STORAGE  [replication-0] Scanning the oplog to determine where to place markers for truncation
2018-05-17T08:00:15.979+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.979+0000 I STORAGE  [replication-0] dropAllDatabasesExceptLocal 1
2018-05-17T08:00:15.980+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.988+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 8ms (1 connections now open to node1:27017)
2018-05-17T08:00:16.004+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:16.004+0000 I REPL     [replication-1] CollectionCloner::start called, on ns:admin.system.version
2018-05-17T08:00:16.009+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 6ms (2 connections now open to node1:27017)
2018-05-17T08:00:16.012+0000 I STORAGE  [repl writer worker 0] createCollection: admin.system.version with provided UUID: 95d22b72-a137-43fb-ad92-3cdda29c47a7
2018-05-17T08:00:16.017+0000 I INDEX    [repl writer worker 0] build index on: admin.system.version properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "admin.system.version" }
2018-05-17T08:00:16.017+0000 I INDEX    [repl writer worker 0] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-05-17T08:00:16.019+0000 I COMMAND  [repl writer worker 9] setting featureCompatibilityVersion to 3.6
2018-05-17T08:00:16.019+0000 I NETWORK  [repl writer worker 9] Skip closing connection for connection # 4
2018-05-17T08:00:16.019+0000 I NETWORK  [repl writer worker 9] Skip closing connection for connection # 2
2018-05-17T08:00:16.020+0000 I REPL     [repl writer worker 9] CollectionCloner ns:admin.system.version finished cloning with status: OK
2018-05-17T08:00:16.021+0000 I REPL     [repl writer worker 9] Finished cloning data: OK. Beginning oplog replay.
2018-05-17T08:00:16.022+0000 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp(1526544013, 1) })
2018-05-17T08:00:16.023+0000 I COMMAND  [replication-0] Assigning UUID 5a6384e2-62b2-4c8a-8f4a-9bdbb866179a to collection local.system.rollback.id
2018-05-17T08:00:16.024+0000 I COMMAND  [replication-0] Assigning UUID 4a66a8db-f80d-4d9e-8bfa-f82fb2f6e716 to collection local.temp_oplog_buffer
2018-05-17T08:00:16.024+0000 I COMMAND  [replication-0] Assigning UUID e0efe8af-9ce0-421d-a557-2018123e8f00 to collection local.system.replset
2018-05-17T08:00:16.025+0000 I COMMAND  [replication-0] Assigning UUID e3952018-0a30-44d9-8347-24d13afb658b to collection local.me
2018-05-17T08:00:16.025+0000 I COMMAND  [replication-0] Assigning UUID fd59b934-7787-4d88-b4f7-5d81c34d1e93 to collection local.startup_log
2018-05-17T08:00:16.026+0000 I COMMAND  [replication-0] Assigning UUID 711777e6-e22d-4336-8e07-4e8fbd3cd7d6 to collection local.replset.minvalid
2018-05-17T08:00:16.026+0000 I COMMAND  [replication-0] Assigning UUID 012a39d4-15ab-4590-bc20-4e8cd759a4ba to collection local.oplog.rs
2018-05-17T08:00:16.027+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host node1:27017 due to bad connection status; 1 connections to that host remain open
2018-05-17T08:00:16.027+0000 I REPL     [replication-1] Finished fetching oplog during initial sync: CallbackCanceled: error in fetcher batch callback: oplog fetcher is shutting down. Last fetched optime and hash: { ts: Timestamp(0, 0), t: -1 }[0]
2018-05-17T08:00:16.028+0000 I REPL     [replication-1] Initial sync attempt finishing up.
2018-05-17T08:00:16.028+0000 I REPL     [replication-1] Initial Sync Attempt Statistics: { failedInitialSyncAttempts: 0, maxFailedInitialSyncAttempts: 10, initialSyncStart: new Date(1526544015964), initialSyncAttempts: [], fetchedMissingDocs: 0, appliedOps: 0, initialSyncOplogStart: Timestamp(1526544013, 1), initialSyncOplogEnd: Timestamp(1526544013, 1), databases: { databasesCloned: 1, admin: { collections: 1, clonedCollections: 1, start: new Date(1526544016000), end: new Date(1526544016022), elapsedMillis: 22, admin.system.version: { documentsToCopy: 1, documentsCopied: 1, indexes: 1, fetchedBatches: 1, start: new Date(1526544016006), end: new Date(1526544016022), elapsedMillis: 16 } } } }
2018-05-17T08:00:16.029+0000 I STORAGE  [replication-1] Finishing collection drop for local.temp_oplog_buffer (4a66a8db-f80d-4d9e-8bfa-f82fb2f6e716).
2018-05-17T08:00:16.030+0000 I REPL     [replication-1] initial sync done; took 0s.
2018-05-17T08:00:16.031+0000 I REPL     [replication-1] transition to RECOVERING from STARTUP2
2018-05-17T08:00:16.032+0000 I REPL     [replication-1] Starting replication fetcher thread
2018-05-17T08:00:16.032+0000 I REPL     [replication-1] Starting replication applier thread
2018-05-17T08:00:16.033+0000 I REPL     [rsBackgroundSync] could not find member to sync from
2018-05-17T08:00:16.033+0000 I REPL     [replication-1] Starting replication reporter thread
2018-05-17T08:00:16.034+0000 I REPL     [replexec-3] Member node2:27017 is now in state SECONDARY
2018-05-17T08:00:16.035+0000 I REPL     [rsSync] transition to SECONDARY from RECOVERING
2018-05-17T08:00:25.305+0000 I STORAGE  [conn2] createCollection: local.replset.election with generated UUID: c14418e5-48a7-44a2-b1e7-d67b5e1f8b18
2018-05-17T08:00:25.309+0000 I NETWORK  [conn2] end connection 172.23.0.2:55842 (1 connection now open)
2018-05-17T08:00:25.311+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:55874 #5 (2 connections now open)
2018-05-17T08:00:25.312+0000 I NETWORK  [conn5] received client metadata from 172.23.0.2:55874 conn5: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "17.10" } }
2018-05-17T08:00:25.579+0000 I REPL     [replexec-0] Member node1:27017 is now in state PRIMARY
2018-05-17T08:00:28.047+0000 I REPL     [rsBackgroundSync] sync source candidate: node1:27017
2018-05-17T08:00:28.049+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:28.050+0000 I STORAGE  [rsSync] createCollection: local.replset.oplogTruncateAfterPoint with generated UUID: c9647815-4f74-49fe-90d4-e3bba8e98288
2018-05-17T08:00:28.052+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 3ms (2 connections now open to node1:27017)
2018-05-17T08:00:28.055+0000 I STORAGE  [repl writer worker 5] createCollection: config.transactions with provided UUID: d559b5b9-bb5e-4163-a3c0-ab5da38bb931
2018-05-17T08:00:28.059+0000 I STORAGE  [repl writer worker 8] createCollection: admin.system.keys with provided UUID: 7524d71c-6c18-4553-8916-63fc04fd6704
2018-05-17T08:01:06.591+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:55886 #6 (3 connections now open)
2018-05-17T08:01:06.598+0000 I NETWORK  [conn6] received client metadata from 172.23.0.2:55886 conn6: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:06.615+0000 I STORAGE  [repl writer worker 14] createCollection: lily.storage with provided UUID: fb399622-b4aa-4f02-8b2f-f09b90cec275
2018-05-17T08:01:06.692+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:45384 #7 (4 connections now open)
2018-05-17T08:01:06.706+0000 I NETWORK  [conn7] received client metadata from 172.23.0.4:45384 conn7: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:06.783+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:44898 #8 (5 connections now open)
2018-05-17T08:01:06.790+0000 I NETWORK  [conn8] received client metadata from 172.23.0.3:44898 conn8: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:07.105+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:01:07.156+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 52ms (3 connections now open to node1:27017)
2018-05-17T08:01:29.454+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host node1:27017 due to bad connection status; 2 connections to that host remain open
2018-05-17T08:01:29.454+0000 I REPL     [replication-1] Restarting oplog query due to error: NetworkInterfaceExceededTimeLimit: error in fetcher batch callback: Operation timed out. Last fetched optime (with hash): { ts: Timestamp(1526544079, 115), t: 1 }[1982924436414068202]. Restarts remaining: 3
2018-05-17T08:01:29.456+0000 I REPL     [replication-1] Scheduled new oplog query Fetcher source: node1:27017 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp(1526544079, 115) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, batchSize: 13981010, term: 1, readConcern: { afterClusterTime: Timestamp(1526544079, 115) } } query metadata: { $replData: 1, $oplogQueryData: 1, $readPreference: { mode: "secondaryPreferred" } } active: 1 findNetworkTimeout: 65000ms getMoreNetworkTimeout: 10000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 8349 -- target:node1:27017 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp(1526544079, 115) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, batchSize: 13981010, term: 1, readConcern: { afterClusterTime: Timestamp(1526544079, 115) } } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-05-17T08:01:29.460+0000 I NETWORK  [conn8] end connection 172.23.0.3:44898 (4 connections now open)
2018-05-17T08:01:29.487+0000 I NETWORK  [conn7] end connection 172.23.0.4:45384 (3 connections now open)
2018-05-17T08:01:29.502+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:52510 #9 (4 connections now open)
2018-05-17T08:01:29.503+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:52512 #10 (5 connections now open)
2018-05-17T08:01:29.506+0000 I NETWORK  [conn10] received client metadata from 172.23.0.3:52512 conn10: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.512+0000 I NETWORK  [conn9] received client metadata from 172.23.0.3:52510 conn9: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.529+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:52522 #11 (6 connections now open)
2018-05-17T08:01:29.531+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:52524 #12 (7 connections now open)
2018-05-17T08:01:29.535+0000 I NETWORK  [conn11] received client metadata from 172.23.0.3:52522 conn11: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.535+0000 I NETWORK  [conn12] received client metadata from 172.23.0.3:52524 conn12: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.565+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:53058 #13 (8 connections now open)
2018-05-17T08:01:29.566+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:53060 #14 (9 connections now open)
2018-05-17T08:01:29.569+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:53062 #15 (10 connections now open)
2018-05-17T08:01:29.570+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:53064 #16 (11 connections now open)
2018-05-17T08:01:29.573+0000 I NETWORK  [conn13] received client metadata from 172.23.0.4:53058 conn13: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.574+0000 I NETWORK  [conn14] received client metadata from 172.23.0.4:53060 conn14: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.574+0000 I NETWORK  [conn15] received client metadata from 172.23.0.4:53062 conn15: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.575+0000 I NETWORK  [conn16] received client metadata from 172.23.0.4:53064 conn16: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:30.142+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Ending connection to host node1:27017 due to bad connection status; 0 connections to that host remain open
2018-05-17T08:01:30.142+0000 I REPL_HB  [replexec-2] Error in heartbeat (requestId: 8337) to node1:27017, response status: NetworkInterfaceExceededTimeLimit: Operation timed out
2018-05-17T08:01:30.143+0000 I REPL     [replexec-2] Member node1:27017 is now in state RS_DOWN
