2018-05-17T08:00:15.961+0000 I STORAGE  [replication-0] Finishing collection drop for local.temp_oplog_buffer (no UUID).
2018-05-17T08:00:15.962+0000 I STORAGE  [replication-0] createCollection: local.temp_oplog_buffer with no UUID.
2018-05-17T08:00:15.965+0000 I REPL     [replication-0] sync source candidate: node1:27017
2018-05-17T08:00:15.966+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.966+0000 I REPL     [replication-0] creating replication oplog of size: 990MB...
2018-05-17T08:00:15.966+0000 I STORAGE  [replication-0] createCollection: local.oplog.rs with no UUID.
2018-05-17T08:00:15.968+0000 I STORAGE  [replication-0] Starting WiredTigerRecordStoreThread local.oplog.rs
2018-05-17T08:00:15.968+0000 I STORAGE  [replication-0] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2018-05-17T08:00:15.969+0000 I STORAGE  [replication-0] Scanning the oplog to determine where to place markers for truncation
2018-05-17T08:00:15.975+0000 I REPL     [replication-0] ******
2018-05-17T08:00:15.975+0000 I STORAGE  [replication-0] dropAllDatabasesExceptLocal 1
2018-05-17T08:00:15.976+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.979+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 3ms (1 connections now open to node1:27017)
2018-05-17T08:00:15.982+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.985+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 3ms (2 connections now open to node1:27017)
2018-05-17T08:00:15.986+0000 I REPL     [replication-1] CollectionCloner::start called, on ns:admin.system.version
2018-05-17T08:00:15.988+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:15.989+0000 I STORAGE  [repl writer worker 1] createCollection: admin.system.version with provided UUID: 95d22b72-a137-43fb-ad92-3cdda29c47a7
2018-05-17T08:00:15.992+0000 I INDEX    [repl writer worker 1] build index on: admin.system.version properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "admin.system.version" }
2018-05-17T08:00:15.992+0000 I INDEX    [repl writer worker 1] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-05-17T08:00:15.994+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 6ms (3 connections now open to node1:27017)
2018-05-17T08:00:15.995+0000 I COMMAND  [repl writer worker 2] setting featureCompatibilityVersion to 3.6
2018-05-17T08:00:15.996+0000 I NETWORK  [repl writer worker 2] Skip closing connection for connection # 4
2018-05-17T08:00:15.996+0000 I NETWORK  [repl writer worker 2] Skip closing connection for connection # 2
2018-05-17T08:00:15.997+0000 I REPL     [repl writer worker 2] CollectionCloner ns:admin.system.version finished cloning with status: OK
2018-05-17T08:00:15.998+0000 I REPL     [repl writer worker 2] Finished cloning data: OK. Beginning oplog replay.
2018-05-17T08:00:15.999+0000 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp(1526544013, 1) })
2018-05-17T08:00:16.002+0000 I COMMAND  [replication-0] Assigning UUID a00aab98-2f88-4823-8870-b64911bb8d9e to collection local.system.rollback.id
2018-05-17T08:00:16.002+0000 I COMMAND  [replication-0] Assigning UUID 5cfbf11b-62c8-4da0-9594-f9e776be33f0 to collection local.temp_oplog_buffer
2018-05-17T08:00:16.003+0000 I COMMAND  [replication-0] Assigning UUID 59c1c173-56fb-42d0-a53c-56b8c5a5474d to collection local.system.replset
2018-05-17T08:00:16.003+0000 I COMMAND  [replication-0] Assigning UUID 248d59e3-6623-4c0d-894d-a3b46e5279c6 to collection local.me
2018-05-17T08:00:16.006+0000 I COMMAND  [replication-0] Assigning UUID 656bcc16-7473-4099-8733-a34685ac17b9 to collection local.startup_log
2018-05-17T08:00:16.007+0000 I COMMAND  [replication-0] Assigning UUID 3c2a2c36-92d8-4e60-9c75-e9b5b3ae0549 to collection local.replset.minvalid
2018-05-17T08:00:16.008+0000 I COMMAND  [replication-0] Assigning UUID 4dd5a9d1-2733-4f96-a39e-c3eb4e0108be to collection local.oplog.rs
2018-05-17T08:00:16.009+0000 I REPL     [replication-1] Finished fetching oplog during initial sync: CallbackCanceled: error in fetcher batch callback: oplog fetcher is shutting down. Last fetched optime and hash: { ts: Timestamp(0, 0), t: -1 }[0]
2018-05-17T08:00:16.009+0000 I REPL     [replication-1] Initial sync attempt finishing up.
2018-05-17T08:00:16.010+0000 I REPL     [replication-1] Initial Sync Attempt Statistics: { failedInitialSyncAttempts: 0, maxFailedInitialSyncAttempts: 10, initialSyncStart: new Date(1526544015959), initialSyncAttempts: [], fetchedMissingDocs: 0, appliedOps: 0, initialSyncOplogStart: Timestamp(1526544013, 1), initialSyncOplogEnd: Timestamp(1526544013, 1), databases: { databasesCloned: 1, admin: { collections: 1, clonedCollections: 1, start: new Date(1526544015984), end: new Date(1526544015999), elapsedMillis: 15, admin.system.version: { documentsToCopy: 1, documentsCopied: 1, indexes: 1, fetchedBatches: 1, start: new Date(1526544015987), end: new Date(1526544015999), elapsedMillis: 12 } } } }
2018-05-17T08:00:16.010+0000 I STORAGE  [replication-1] Finishing collection drop for local.temp_oplog_buffer (5cfbf11b-62c8-4da0-9594-f9e776be33f0).
2018-05-17T08:00:16.009+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host node1:27017 due to bad connection status; 2 connections to that host remain open
2018-05-17T08:00:16.012+0000 I REPL     [replication-1] initial sync done; took 0s.
2018-05-17T08:00:16.013+0000 I REPL     [replication-1] transition to RECOVERING from STARTUP2
2018-05-17T08:00:16.013+0000 I REPL     [replication-1] Starting replication fetcher thread
2018-05-17T08:00:16.013+0000 I REPL     [replication-1] Starting replication applier thread
2018-05-17T08:00:16.014+0000 I REPL     [replication-1] Starting replication reporter thread
2018-05-17T08:00:16.014+0000 I REPL     [rsBackgroundSync] could not find member to sync from
2018-05-17T08:00:16.017+0000 I REPL     [rsSync] transition to SECONDARY from RECOVERING
2018-05-17T08:00:16.518+0000 I REPL     [replexec-0] Member node3:27017 is now in state SECONDARY
2018-05-17T08:00:25.305+0000 I STORAGE  [conn2] createCollection: local.replset.election with generated UUID: 9f24a692-33d3-4f93-ac33-8c91d7c1d60e
2018-05-17T08:00:25.556+0000 I REPL     [replexec-2] Member node1:27017 is now in state PRIMARY
2018-05-17T08:00:28.023+0000 I REPL     [rsBackgroundSync] sync source candidate: node1:27017
2018-05-17T08:00:28.027+0000 I STORAGE  [rsSync] createCollection: local.replset.oplogTruncateAfterPoint with generated UUID: 793cfb9d-9602-43e8-9491-bdbccb9c6fa4
2018-05-17T08:00:28.032+0000 I STORAGE  [repl writer worker 13] createCollection: config.transactions with provided UUID: d559b5b9-bb5e-4163-a3c0-ab5da38bb931
2018-05-17T08:00:28.035+0000 I STORAGE  [repl writer worker 4] createCollection: admin.system.keys with provided UUID: 7524d71c-6c18-4553-8916-63fc04fd6704
2018-05-17T08:00:51.992+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to node1:27017
2018-05-17T08:00:51.996+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to node1:27017, took 5ms (3 connections now open to node1:27017)
